RowID,Cluster Title,Story Title,Story Summary,Owner,AI Captured Date & Time,Assigned Date & Time,Moved to Not Impactful (Owner),Date & Time when moved to Not Impactful,Suppliers,Linked Stories,Event Classification,Not Impactful Feedback,Feedback
1,Lancashire brain injury case management business sold to Supreme Homecare,Lancashire brain injury case management business sold to Supreme Homecare,"A Lancashire-based brain injury case management business was sold to Supreme Homecare on September 7, 2026, representing consolidation in the social care services sector.",Deepika Rao,2026-09-07 18:09:30.591,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"MEDTECH, A, LTH GROUP, BE, PHARMA SERVICE, ICE SERVICES, HEALTH GROUP, SUPREME, S NEWS, CARE, PARTNERS, 2, T C, 7, AND, SIMPLYHEALTH, CAPITAL, BRAIN, CE LINK",0.0,Non-Event,,AGREED
2,Mobilink Microfinance Bank Extends Offer Timeline for Apna Bank Acquisition,Mobilink Microfinance Bank Extends Offer Timeline for Apna Bank Acquisition,"...The extension is in accordance with Regulation 7(1) of the Listed Companies (Substantial Acquisition of Voting Shares and Takeovers) Regulations, 2017, which allows for such a timeline adjustment...",Deepika Rao,2026-09-07 18:09:30.009,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"A, AND, IS, CE LINK",0.0,Non-Event,,AGREED
3,Lotte Chemical Pakistan's Acquisition of Engro Polymer Delayed as Approval Process Prolongs,Lotte Chemical Pakistan's Acquisition of Engro Polymer Delayed as Approval Process Prolongs,"...This extension is in accordance with Regulation 7 (1) of the Listed Companies (Substantial Acquisition of Voting Shares and Take Overs) Regulations, 2017.

Consequently, the new deadline for...",Deepika Rao,2026-09-07 18:09:25.734,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"AS, LOTTE CHEMICAL, LOTTE, 7, AND, PROCESS, IS, CE LINK, VAL PRO",0.0,Non-Event,,AGREED
4,Mehmood Textile Mills Limited Adjusts Order Reject Prices for Ready Settlement,Mehmood Textile Mills Limited Adjusts Order Reject Prices for Ready Settlement,"...Exchange (PSX), has announced changes to its order reject prices for ready settlement. On September 7, 2026, the company updated the order reject upper and lower price limits for its stock.

According...",Deepika Rao,2026-09-07 18:01:30.606,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"AND, E COMPANY, TEXTILE, CE LINK, ON, COMPANY",0.0,Non-Event,,AGREED
5,Oxaquim will increase its production in early 2027 and create 40 new jobs,Oxaquim will increase its production in early 2027 and create 40 new jobs,"Oxaquim will invest up to EUR20m to expand its Alcaniz factory, increasing production in early 2027, creating up to 40 jobs, and doubling 2025 output by end-2028 while pursuing US market growth.",Deepika Rao,2026-09-07 18:00:30.668,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"OXAQUIM, A, VISTA, LA, E, Y, AL, AVANZA, CE LINK",0.0,Non-Event,,AGREED
6,UK furniture brand plunges into administration - 13 years in business,UK furniture brand plunges into administration - 13 years in business,"Jadebay Limited, trading as Nöa & Nani, appointed administrators on Sept 3, 2026, entering administration; brand sold through major UK retailers and running up to 80% clearance sale, risking supply disruptions to retail partners.",Mujahed Siddique,2026-09-07 17:54:28.096,2026-09-07 18:14:47.704,Mujahed Siddique,2026-09-07 18:16:31.528,"A, MAJOR, ADMINISTRATION, BY, BUDGET, POPULAR, UP, CE LINK",0.0,Event,,AGREED
7,Port Of Houston High-Value Cargo Theft Prevention Strategy Guide Published,Port Of Houston High-Value Cargo Theft Prevention Strategy Guide Published,"Excargo Services published a prevention guide addressing high-value cargo theft and double brokering risks at the Port of Houston, highlighting targeted commodities and recommending carrier vetting, documentation, GPS tracking, and onboard cameras.",Deepika Rao,2026-09-07 17:53:32.151,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"A, PORT OF HOUSTON, AT, PORT, CE LINK",0.0,Non-Event,,AGREED
8,Pizza chain Bolle bankrupt: What the insolvency administrator says,Pizza chain Bolle bankrupt: What the insolvency administrator says,Hamburg pizza chain Bolle filed for insolvency and the Hamburg district court opened proceedings; insolvency administrator closed Bolle sites in Ottensen and Schanze on Sep 1 while Hegestraße had closed earlier; Mühlenkamp franchise location excluded from proceedings.,Mujahed Siddique,2026-09-07 17:53:23.578,2026-09-07 18:14:47.704,Mujahed Siddique,2026-09-07 18:16:31.528,"DAS, IST, T I, AN, CE LINK",0.0,Event,,AGREED
9,"If your battery catches fire, you'll get a new car: Xiaomi has unveiled the Dragonscale • Межа","If your battery catches fire, you'll get a new car: Xiaomi has unveiled the Dragonscale • Межа","Xiaomi unveiled the Dragonscale battery with an unusual warranty: if a manufacturing-defect-related battery fire occurs, the company will replace the entire car for eligible private first-time owners; Dragonscale meets Chinese safety rules and uses Cloud BMS monitoring.",Deepika Rao,2026-09-07 17:51:20.930,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"A, I PRO, E COMPANY, UNUSUAL, MANUFACTURING, AN, FREE, CE LINK, COMPANY",0.0,Non-Event,,AGREED
10,Kirby India breaks ground for PEB facility in TN,Kirby India breaks ground for PEB facility in TN,"...industrial ecosystem.

We are strengthening our presence in southern India to stay closer to the countrys most dynamic industrial regions, Waleed K Alghanim, CEO, Kirby International, said.",Deepika Rao,2026-09-07 17:45:22.616,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"ED K, K, INDUSTRIAL, INDIA, CE LINK, STAY, DYNAMIC",0.0,Non-Event,,AGREED
11,"CMC Governance Reform Still Unfinished, Delaying Key Part of Hospital Financial Restructuring","CMC Governance Reform Still Unfinished, Delaying Key Part of Hospital Financial Restructuring","...Exploitatie must be brought into compliance with Cura&ccedil;ao's National Ordinance on Corporate Governance before important parts of the hospital's financial restructuring can move forward.

According...",Deepika Rao,2026-09-07 17:43:28.792,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"BE, NATIONAL, E ON, CMC, T I, CE LINK, ON",0.0,Non-Event,,AGREED
12,Idaho woman sues Lyft for 'gross negligence' after being raped by driver,Idaho woman sues Lyft for 'gross negligence' after being raped by driver,"...in a 2024 attack by a Lyft driver is suing the ride-hailing company, alleging gross negligence.&nbsp;

The plaintiff in the case, whom KTVB has chosen not to name, filed a lawsuit in August in Ada...",Deepika Rao,2026-09-07 17:41:22.784,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"A, BY, G COMPANY, LYFT, IS, T I, CE LINK",0.0,Non-Event,,AGREED
13,Colombia could experience massive protests and blockades if Canacol ends gas contracts: MinMinas,Colombia could experience massive protests and blockades if Canacol ends gas contracts: MinMinas,"Canacol Energy, undergoing bankruptcy in Canada, has requested permission to terminate 15 Colombian gas contracts. The Ministry warns abrupt termination could cause gas shortages across Colombia's Caribbean Coast, production halts (e.g., Cerromatoso), increased blackout risk, and mass protests.",Mujahed Siddique,2026-09-07 17:40:31.693,2026-09-07 18:14:47.704,Mujahed Siddique,2026-09-07 18:16:31.528,"LA, EL, Y, CE LINK",0.0,Event,,AGREED
14,Lebanon announces completion of Beirut port blast probe,Lebanon announces completion of Beirut port blast probe,"...Justice Minister Adel Nassar announced Monday that the investigation into the Beirut port blast has been concluded, paving the way for the issuance of an indictment decision.

Nassar said on...",Deepika Rao,2026-09-07 17:40:28.926,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"THAT, PORT, AN, WAY, CE LINK",0.0,Non-Event,,AGREED
15,Abu Dhabi fire: Civil Defence teams rush to blaze in Al Bahia area,Abu Dhabi fire: Civil Defence teams rush to blaze in Al Bahia area,"...from the burning of wood and ammunition in the capital.

The accidental blaze occurred in a warehouse in Zayed Military City, authorities said.",Deepika Rao,2026-09-07 17:40:22.838,2026-09-07 18:16:05.370,Deepika Rao,2026-09-07 18:16:28.452,"A, BAHIA, WAREHOUSE, AND, AL, CE LINK",0.0,Non-Event,,AGREED
